제목,축약 내용
"창원시, 수소특화단지 조성…2358억 투입","상복산단, 국가산단 확장구역, 성주지구 일원에 2022년까지 조성 수소산업 전주기 실증센터와 연관기업 유치로 수소경제 집중육성 [경남CBS 이상현 기자]창원시가 오는 2022년까지 2358억 원..."
"화성·마산 등 5개 지역 차량, 내년부터 배출가스 정밀검사",(세종=뉴스1) 한재준 기자 = 내년 상반기부터 화성·마산·진해·김해시와 청원군에 등록된 차량 소유주도 주기적으로 배출가스 정밀검사를 받아야 한다. 환경부는 신규 운행차 배출가스 정밀검...
'남해안 경관' 명소 국공유지 11곳 민간투자유치,【서울=뉴시스】최희정 기자 = 정부가 남해안관광 활성화와 해안경관루트 조성을 위해 남해안 경관 명소 인근 국공유지를 대상으로 민간투자 유치에 나선다. 국토교통부는 전남 고흥에서 경...
"함안군, 갈등 끝에 '공설장례식장' 건립 최종 확정","【함안=뉴시스】김기진 기자 =경남 함안군은 군민의 오랜 숙원인 공설장례식장 건립 계획을 최종 확정, 본격적인 건립에 나선다고 12일 밝혔다. 사업비 45억원이 투입되는 공설장례식장은 함..."
"고성군, 실업문제 해결에 발 벗고 나서다",[김동수 기자(=경남고성)] 경남 고성군은 조선경기 침체로 인한 심각한 실업문제로 일자리 창출이 절실한 실정이다. 백두현 군수는 하이면 덕호리 일원에서 추진되고 있는 고성 높은 화력발...
"통영 폐조선소, 지역 전통 맥 잇는 ‘캠프 마레’로 탈바꿈한다","[한겨레] 마스터플랜 공제공모 당선작에 포스코에이엔씨 컨소시엄 ‘캠프 마레’ 뽑혀 통영 공예 등 ‘12공방’으로 지역경제 재생 시업시행자 LH, 11월 기본설계 착수 계획 한국토지주택공..."
국토부·남해군·하동군 남해대교 관광자원화 밑그림 그린다,"국토교통부는 경남 남해군, 하동군과 공동으로 ‘남해대교 관광자원화 기본구상 및 타당성조사 연구용역’을 추진한다고 4일 밝혔다. 경남 하동군과 남해군 사이의 노량해협을 잇는 남해대교..."
"경남도, 진주혁신도시 일대 항공산업 최대 집적지로 육성",'국가혁신클러스터 육성계획' 신청…9월 말 국가균형발전위서 확정 (창원=연합뉴스) 황봉규 기자 = 경남도는 진주혁신도시 일대를 항공부품·소재산업 클러스터로 육성하는 '경남 국가혁신클...
거제 민간 어린이집 3곳 경남 최초로 국공립 전환,【거제=뉴시스】 김성찬 기자 = 경남 거제시 민간 어린이집 3곳이 경남에서는 처음으로 국공립으로 전환한다. 거제시는 민간 아파트 단지 내 어린이집 3곳을 매입해 국공립으로 전환하는 사...
군산ㆍ통영 등 고용위기지역 노동자 생계융자 요건 완화,[헤럴드경제=유재훈 기자] 군산ㆍ통영 등 고용위기지역으로 지정된 8개 지역의 재직 노동자를 대상으로 한 생활안정자금융자 요건 완화된다. 27일 근로복지공단에 따르면 해당 지역 사업장 ...
"""통영 폐조선소를 되살리자""… 도시재생 아이디어 공모",국토교통부는 경남 통영 폐조선소(사진)를 세계적인 명소로 되살리는 도시재생 뉴딜사업을 진행하기 위해 일반 국민도 다양한 아이디어를 제시할 수 있도록 25일부터 '통영 폐조선소 도시재...
"[영남 브리프] 함양군, 농업창업지원센터 조성","경남 함양군은 17일 함양읍 이은리 농업기술센터 부지에 농업창업지원센터를 조성했다. 공동시설하우스와 실습농장, 농자재보관소, 주택 등을 갖췄다. 예비 농업인들이 가족과 함께 체류하면..."
"경남 함안군, ‘장원급제 금의환향’ 승마체험 인기","【함안=뉴시스】김기진 기자 =경남 함안군은 어린이날인 지난 5일, 함안군 승마공원을 찾은 방문객이 1500여명에 달했다고 6일 밝혔다. 5일 장원급제 승마체험을 하고 있는 한 어린이의 모습..."
경남 거제 관광모노레일 인기 상승,경남 거제관광모노레일이 거제의 새로운 관광콘텐츠로 각광받고 있다. 거제해양관광개발공사는 지난 3월 30일 운행을 시작한 거제관광모노레일의 한 달 이용객이 1만9394명으로 집계됐으며 1...
"밀양시, 뚝방 주말 장터 개장",【밀양=뉴시스】안지율 기자 = 박일호 경남 밀양시장은 28일 하남읍 체육공원에서 열린 '하남 뚝방 주말 장터' 개장식을 방문해 인사말을 하고 있다. 2018.04.29. (사진=밀양시 제공) photo@...
경남 창원시 가음정동 경남 최고 주거지역으로 부상,경남 창원지역에서 재건축이 최고로 많이 이뤄지고 있는 성산구 가음정동이 경남 최고의 주거지역으로 급부상하고 있다. 창원시와 가음정동에 따르면 인구는 이곳 2016년 3만7000명에서 2018...
함안군 사계절 꽃 피는 도시로 변신한다,(함안=연합뉴스) 김동민 기자 = 경남 함안군은 아름다운 도시 조성을 위해 연말까지 계절에 어울리는 꽃 양묘 사업을 추진한다고 18일 밝혔다. 군은 군 농업기술센터 내 1천60㎡ 규모 꽃 양...
"통영 폐조선소, '한국판 말뫼'로 되살린다","국토부, 신아sb 재생 국제공모 정부가 경남 통영의 폐조선소를 '한국판 말뫼'로 만들기 위해 국제 공모로 아이디어를 모아 세계적인 랜드마크로 되살리기로 했다. 스웨덴 남부의 말뫼는 조선..."
문화체육관광부 '열린 관광지'에 경남 3곳 선정,"산청 전통한방휴양관광지·함양 상림공원·합천 대장경기록문화테마파크 [경남CBS 최호영 기자]경상남도는 문화체육관광부의 '열린 관광지' 공모에 산청 전통한방휴양관광지, 함양 상림공원, ..."
"진주시, 자녀 안심 보육환경 조성한다",경남 진주시가 어린이 건강관리 및 안전한 보육환경 조성을 위해 어린이집 건강돌보미사업을 추진한다. 【진주=오성택 기자】 경남 진주시가 아동학대 예방 및 부모가 안심하고 자녀를 키울 ...
"[거창소식] 수승대관광지, 야영장 데크 새단장 등",【거창=뉴시스】정경규 기자 = ◇거창 수승대관광지 야영장 데크 새단장 경남 거창군은 수승대 관광지내 야영장 데크 84면에 오일스테인 도색작업을 마무리했다고 3일 밝혔다. 군은 시설정비...
양산 북정∼부산 노포 잇는 양산도시철도 착공…2021년 개통,"(양산=연합뉴스) 최병길 기자 = 경남 양산시 북정동과 부산 노포동을 잇는 양산도시철도 건설 공사가 28일 착공됐다. 국토교통부, 부산시, 경남도, 양산시 등은 이날 오후 양산종합운동장 주..."
"진해구, 군항제 대비 만전.. 도로정비·교통시설 확충 총력",【 창원=오성택 기자】 경남 창원시 진해구가 경남을 대표하는 봄 축제 중 하나인 '진해군항제' 개막을 3일 앞두고 도로정비와 교통시설 확충에 나섰다. 창원시 진해구는 28일 도로 재포장과...
"마산 회원구 재개발 붐, 원도심 개발에 부동산 시장 들썩인다","- 회원구, 재개발 사업으로 마산 원도심 부활 알려 - 6개 구역 재개발 사업 완료 시 6000여세대 브랜드 타운 조성 미래가치 높아 창원시 마산회원구는 2010년 창원시로 통합 되기 이전 마산..."
양산 사송신도시 순환교통망 '도시철도' 본격 추진,(창원=연합뉴스) 황봉규 기자 = 경남도가 양산 사송신도시 인구 증가에 대비하는 교통망인 '양산도시철도' 사업계획이 국토교통부로부터 승인받아 본격 사업을 추진한다고 23일 밝혔다. 양산...
창원 회원동 재개발… 7000가구 아파트촌으로,창원 롯데캐슬 프리미어 주변에 추산근린·산호 공원 재개발 사업을 통해 신흥 주거 타운으로 거듭나는 경남 창원 회원동에 대단지 브랜드 아파트가 들어선다. 롯데건설은 과거 마산의 중심지...
[단독] 군산·통영 등 구조조정 중견 조선소 지역 추가 지원책 나온다,"성동조선 법정관리 가닥...보완 대책 성격 정부가 전라북도 군산, 경상남도 통영 등 구조조정 대상인 중견 조선소가 위치한 지역에 대한 추가 대책을 발표한다. 산업위기 대응 특별지역, 고..."
"마산합포구, 창원 방문의 해 홍보 박차",【창원=뉴시스】강경국 기자 = 경남 창원시 마산합포구는 '2018 창원 방문의 해' 성공적 추진을 위해 홍보에 박차를 가하고 있다고 7일 밝혔다. 마산합포구는 청사 출입구 로비 중앙계단에 ...
"창원 구산관광단지, 골프장+숙박사업 전락하나","환경단체, 숙박시설 늘리는 토지이용계획 불허 요구(창원=연합뉴스) 이정훈 기자 = 경남 창원시가 자연경관이 뛰어난 구산면 바닷가에 추진 중인 구산해양관광단지 사업이 골프장에 이어 숙..."
양산시 사송신도시 공공주택지구 기공식,(양산=연합뉴스) 13일 오후 경남 양산시 옛 동면초등학교 부지에서 열린 사송신도시 공공주택지구 기공식에서 나동연 양산시장 등 지역인사들이 축하 버튼을 누르고 있다. 2018.2.13 [양산시...
"통영 한산면 용초도, 용호도로 지명변경",【통영=뉴시스】신정철 기자 = 경남 통영시 한산면 용초도가 '용호도'로 지명이 변경됐다. 12일 통영시에 따르면 국가지명위원회가 지난 9일 오후 국토지리정보원에서 2018년 제1차 지명위원...
새단장 창원국제사격장 곧 준공,'2018 창원 세계사격선수권대회'가 열리는 창원국제사격장의 리빌딩 공사가 마무리 단계에 접어들면서 주경기장의 위용이 드러났다. 창원세계사격선수권대회 조직위원회 제공 제52회 세계사...
"사천시, 도내 첫 장애인국민체육센터 건립","지하 1층, 지상 2층 연면적 3058㎡ 올 12월 준공 【사천=뉴시스】김윤관 기자 = 경남 사천시는 오는 12일 도내에서 처음으로 장애인 생활체육 활성화를 위한 '장애인 국민체육센터' 건립 기..."
경남 함양군 전입가구 주택설계비 지원,경남 함양군은 저출산과 농촌지역 고령화 문제 해결을 위해 타지역에서 함양군에 정착하고자 주택을 신축해 전입하는 가구에 대한 주택설계비 지원사업을 한다. 가구당 100만 원씩 총 20가구...
"거제시, 2020년 도시관리계획 재정비 조건부 의결",【거제=뉴시스】최운용 기자 = 경남 거제시가 추진 중인 2020년도시관리계획 재정비 결정이 사실상 마무리됐다. 거제시는 지난 5일 시 도시관리계획 재정비 결정에 대해 경남도 도시계획위원...
"남해군, 6개 사업에 국·도비 233억 사업비 확보",【남해=뉴시스】차용현 기자 = 경남 남해군은 군이 추진 중인 6개 사업이 2단계 경남도 지역균형발전개발계획에 반영돼 총 사업비 382억 중 233억3500만원(국비 141억·도비 92억3500만원)을 ...
"도시재생뉴딜 발표 한달...'최대어' 경남 통영 도남동, 상가-원룸 매물 사라져",도시재생뉴딜 발표 한달을 지나면서 최대어인 경남 통영시 도남동의 매물이 자취를 감췄다. 개발 기대감에 상가나 원룸건물을 내놨던 주인들이 모두 매물을 거둬 들였다. 통영지역 중개업소...
"경남 고성군, 지역균형발전사업에 451억원 투입",디노팜랜드 등 미래전략사업 역점 추진 【고성(경남)=뉴시스】신정철 기자 = 경남 고성군은 12일 2단계 경상남도 지역균형발전 개발계획(2018~2022년)에 ‘고성 디노팜랜드 조성사업’을 비...
"[경남소식] 통영시, 논 타작물 재배 지원사업 추진",(통영=연합뉴스) 박정헌 기자 = 통영시는 작물 자급률 향상과 쌀 공급과잉 해소를 위해 '논 타작물 재배 지원사업'을 추진한다고 11일 밝혔다. 벼 이외의 타작물을 최소 1천㎡이상 재배할 의...
경남통영케이블카 지난해 140만명 돌파 기록 역대 최다,개장 10년차를 맞은 통영케이블카가 지난해 연간 탑승객 140만명을 돌파해 역대 연간 최다기록 경신으로 2017년을 화려하게 마무리했다. 통영관광개발공사는 지난 12월 31일 2017년 연간 누...
"통영시, ""6개섬 연결 국내 최장 해상 케이블카 건립추진""",일부선 해상 안전 미확보-예산조달 불투명 등으로 회의론 제기 【통영=뉴시스】신정철 기자 = 경남 통영시가 성곰한 통영케이블카에 이어 4000억원을 투입하여 6개섬을 연결하는 총 23.4㎞에...
'부산 녹산~진해 소사' 연결도로 6일 개통,부산항 신항 제2배후도로로 연결되는 부산시 녹산동~경남 진해시 소사동 7.41km 구간 도로(사진)가 개통된다. 부산진해경제자유구역청은 '부산 녹산~진해 소사 도로'를 오는 6일 오전 9시부...
진해 소사~부산 녹산 7.41km '소사~녹산간 도로' 6일 개통,소사녹산간 도로개설공사 위치도./사진제공=부산진해경제자유구역청 [서울경제] 부산진해경제자유구역청은 경남 창원시 소사동과 부산시 녹산동을 잇는 7.41km 구간의 ‘소사~녹산간 도로’...
"함안군 ""새해 관광기반 구축·일자리 창출 중점""","(함안=연합뉴스) 박정헌 기자 = 경남 함안군은 관광기반 구축과 일자리 창출에 중점을 둔 새해 군정 추진 계획을 4일 발표했다. 군은 레저스포츠와 역사문화가 공존하는 관광도시 건설, 기업..."
거창 숙박시설 등 공사중단 장기방치 정비 3차 선도사업 선정,"[아시아경제 주상돈 기자] 국토교통부는 '공사중단 장기방치 건축물 정비사업'의 성공모델 발굴 ·확산을 위해 3차 선도사업 대상지로 본사업 2곳, 예비사업 2곳을 선정했다고 3일 밝혔다. 국..."
경남 거창 숙박시설 등 공사중단 장기방치 건축물 4곳 정비,(세종=연합뉴스) 윤종석 기자 = 국토교통부는 '공사중단 장기방치 건축물 정비사업' 3차 선도사업지로 경남 거창군 숙박시설 등 4곳을 선정했다고 3일 밝혔다. 이들 방치 건물에 대해서는 공...
"익산시·합천·진천군, ‘노후 공공건축물 리뉴얼’ 대상지 선정","【서울=뉴시스】최희정 기자 = 국토교통부는 '노후 공공건축물 리뉴얼사업' 3차 선도사업 대상지로 전북 익산시, 경남 합천군, 충북 진천군 소재 공공건축물 총 3곳을 선정했다고 2일 밝혔다..."
"김해시, 체육하기 좋은 도시로 자리매김","올해 180억원 투입, 도민체전과 장애인생활체육대회 개최 다양한 체육시설물 정비 및 동계전지훈련팀을 유치 경남 김해시가 올해 180억원을 투입해 각종 전국대회 개최 및 체육시설물 정비, ..."
"""젊은 도시 양산 만들겠다""...토목공사 지양 복지 확충에 무게",박대조 양산시의원 시장 출사표 박대조 경남 양산시의원이 100만 '젊은 양산'건설을 주장하며 양산시장 출사표를 던지고 있다. 【양산=오성택 기자 】 “경남 양산시라고 하면 통도사가 가장...
김해 숙원사업인 대학병원 설립 추진,김해중앙병원-경희대병원 2021년 가야의료원 건립키로 인구 55만명 규모로 성장한 경남 김해시의 숙원사업인 대학병원 설립이 민간차원에서 추진된다. 보원의료재단 김해중앙병원(이사장 김...
김해에 '경희대 가야의료원' 설립,경희대병원과 김해중앙병원은 지난 23일 대학병원 건립을 위한 업무협약(MOU)을 체결했다. 김해중앙병원 제공 경남 김해시의 숙원사업인 대학병원이 2021년 들어설 전망이다. 김해시는 인구 ...
