제목,축약내용
"프로야구 롯데, 창단 40주년 기념 친환경 유니폼 출시","프로야구 롯데 자이언츠가 롯데케미칼과 손잡고 친환경 유니폼을 출시한다. 롯데는 창단 40주년을 맞는 올 시즌, 재생 플라스틱 원료를 사용하는 롯데케미칼의 '프로젝트 루프'(Project LOOP) 의류 제작 방식을 구단 전체..."
"""잘 만든 컴투스프로야구V22, 새 엔진으로 몰입감↑""","컴투스가 신작 야구 게임 컴투스프로야구V22(컴프야V22)를 앞세워 야구팬들을 정조준한다. 컴프야V22는 사실적인 동작을 구현한 물리엔진에 더욱 고도화된 그래픽 품질, 세로 모드 지원을 통한 원핸드 플레이 등으로..."
"'40돌' 동원참치, 프로야구 챔피언 에디션 출시",동원F&B(049770)는동원참치 출시 40주년을 기념해 한국야구위원회(KBO)와 손잡고 프로야구 10개 구단의 앰블럼 등을 첨부한 ‘동원참치 챔피언 에디션’ 한정판을 출시했다고 5일 밝혔다. 이번 제품은 동원참치 캔...
[재택플러스] 돌아온 프로야구‥치열해진 마케팅,"출범 40주년을 맞은 프로야구가 지난 주말 성황리에 개막했습니다. 관중들의 입장도 다시 100% 허용되고 이른바 치맥도 가능해졌는데요, '구름 관중'을 겨냥한 유통업계의 마케팅 경쟁도 치열해지고 있다고 합니다...."
2022 프로야구 퓨처스리그 개막…KIA-상무 개막전 '코로나 취소',"2022시즌 한국프로야구(KBO) 퓨처스(2군)리그가 5일 개막 첫날 코로나 19 타격을 받았다.KBO는 퓨처스리그가 5일 삼성 라이온즈-롯데 자이언츠(상동), 한화 이글스-LG 트윈스(이천), 두산 베어스-고양 히어로즈(고양), NC..."
"프로야구선수협, 산불 피해 복구 위해 3000만원 기부",기사내용 요약식목일 맞아 기부 국내 프로야구 선수들이 5일 식목일을 맞아 산불 피해 지역 복구를 위해 뜻을 모았다. 한국프로야구선수협회는 이날 산불 피해 복구를 위한 기부금 3000만원을 희망브리지...
"프로미스나인, 오늘(6일) 프로야구 시구·시타→특별 공연…승리 요정 출격","그룹 프로미스나인(이새롬, 송하영, 장규리, 박지원, 노지선, 이서연, 이채영, 이나경, 백지헌)이 프로야구에 열기를 더한다. 프로미스나인은 오늘(6일) 오후 6시 30분 서울 고척스카이돔에서 열리는 키움 히어로즈..."
"엔씨소프트 프로야구 H3, 서비스 1주년 기념 이벤트 진행","엔씨소프트(대표 김택진, 이하 엔씨(NC))의 모바일 야구 매니지먼트 게임 ‘프로야구 H3’가 서비스 1주년 기념 프로모션 ‘Happy birthday, 흐삼!’을 실시한다. 프로야구 H3는 모든 이용자에게 ‘1주년 기념 특별 쿠폰’..."
"마왕족발, 프로야구 개막 맞아 '고척 스카이돔점' 오픈","이번 '고척 스카이돔점'은 2022년 프로야구 개막을 맞아 키움히어로즈 홈구장인 고척 스카이돔에 오픈했으며, 이로써 마왕족발도 야구장 먹거리 대열에 합류했다고 관계자는 전했다. 마왕족발은 야구장이라는 특성에 맞게..."
"프로야구, 극단적인 투고타저 분위기…리그 평균자책점 3.11",개막 후 3경기서 스트라이크존 확대 효과 톡톡…삼진 늘고 볼넷 줄어 2022 프로야구는 예상대로 투고타저 현상이 짙어지고 있다. 한국야구위원회(KBO)는 올 시즌 개막을 앞두고 스트라이크존의 상·하·좌·우 폭을...
"[게시판] BC카드, 프로야구 KT위즈 스페셜 유니폼 제작",▲ BC카드는 창립 40주년을 기념해 5~7일 프로야구 KT위즈 홈경기에 한정판 스페셜 유니폼을 선보인다고 4일 밝혔다. 스페셜 유니폼은 KT위즈 홈 유니폼 기반으로 BC카드 브랜드 색상인 빨강과 흰색이 조화된 가운데...
"글로벌 루키 트라이비, 고척돔서 데뷔 첫 프로야구 시구·시타 출격","걸그룹 트라이비(TRI.BE)가 데뷔 후 처음으로 프로야구 시구·시타에 나선다. 트라이비(송선, 켈리, 진하, 현빈, 지아, 소은, 미레)는 5일 오후 6시 30분 서울 고척 스카이돔에서 열리는 2022 KBO리그 키움 히어로즈와 LG..."
"마왕족발, 프로야구 개막 맞아 '고척 스카이돔점' 오픈","이번 '고척 스카이돔점'은 2022년 프로야구 개막을 맞아 키움히어로즈 홈구장인 고척 스카이돔에 오픈했으며, 이로써 마왕족발도 야구장 먹거리 대열에 합류했다고 관계자는 전했다. 마왕족발은 야구장이라는 특성에 맞게..."
프로야구 게임 시즌이 돌아왔다,"지난 4월 2일 국내 프로야구(KBO)가 정식으로 개막했다. 퍼펙트게임이라는 기록을 공식적으로 남기지 못했지만, SSG의 외국인 투수 폰트 선수가 프로야구 역사상 처음으로 9이닝 퍼펙트 투구를 보여주는 등 시작부터..."
"프로미스나인, 오늘(6일) 프로야구 시구·시타→특별 공연…승리 요정 출격","그룹 프로미스나인(이새롬, 송하영, 장규리, 박지원, 노지선, 이서연, 이채영, 이나경, 백지헌)이 프로야구에 열기를 더한다. 프로미스나인은 오늘(6일) 오후 6시 30분 서울 고척스카이돔에서 열리는 키움 히어로즈..."
2022 프로야구 달라지는 것들,출범 40주년을 맞은 프로야구 2020시즌이 지난 2일 전국 5개 구장에서 관중들의 뜨거운 함성 속에 팀당 144경기의 대장정에 돌입했다. 2019년 이후 3년 만에 개막전 100% 관중 입장이 허용된 가운데 ‘팬 퍼스트’(팬 우선주의)...
"미 프로야구, 포수 손가락 사인 없어지나",캔자스시티 로열스의 포수 캠 갤러거가 지난달 29일(현지시간) 미 애리조나주 피오리아에서 열린 미프로야구 메이저리그(MLB) 시범 경기 시애틀 매리너스와의 경기 중 손목에 착용한 '사인' 장치 '피치컴'(PitchCom)을...
"“컴투스프로야구V22, 새 부대에 담은 새 술”",기존 라이브 게임과 이용자층을 나누지 않고 함께 길게 서비스하는 것이 목표입니다.” 컴투스의 신작 야구게임 ‘컴투스프로야구V22’가 오는 5일 출시를 앞뒀다. 기존 ‘컴투스프로야구’ 시리즈와 공존하며 다른...
"엔씨소프트 프로야구 H3, 서비스 1주년 기념 이벤트 진행","엔씨소프트(대표 김택진, 이하 엔씨(NC))의 모바일 야구 매니지먼트 게임 ‘프로야구 H3’가 서비스 1주년 기념 프로모션 ‘Happy birthday, 흐삼!’을 실시한다. 프로야구 H3는 모든 이용자에게 ‘1주년 기념 특별 쿠폰’..."
[오늘의 경기]프로야구 外,▽프로야구 △잠실: 삼성 양창섭-두산 곽빈 △고척: LG 손주영-키움 최원태 △수원: SSG 오원석-KT 고영표 △광주: 한화 카펜터-KIA 이의리 △창원: 롯데 이인복-NC 송명기(이상 18시 30분) ▽프로축구 △성남-김천...
[영상토크] 2022 프로야구 개막! 드디어 치맥 가능!!!,"출범 40년을 맞은 프로야구가 지난 4월 2일 토요일 개막했습니다. 인원 제한이 사라지면서 전국에서 6만여 명이 야구장을 찾았고, 모처럼 치킨에 맥주도 함께 즐겼는데요. 광주 프로야구 경기장의 이모저모를 영상으로..."
"U+프로야구, 2022 KBO 중계 시작","LG유플러스(대표 황현식)가 지난 2일 자사 야구 서비스 플랫폼 ‘U+프로야구’의 모바일 웹 버전을 오픈하고, 2022 KBO 리그 중계를 시작했다. U+프로야구는 KBO 실시간 중계, 경기 일정, 주요 선수 정보, 하이라이트 등..."
"최예나, 3일 프로야구 NC-SSG전 시구자 나서",최예나는 3일 오후 2시 창원NC파크에서 열리는 프로야구 NC-SSG전에 시구자로 마운드에 오른다. 생애 처음으로 시구에 나서는 최예나는 특유의 발랄한 에너지로 승리의 기운을 불어넣으며 선수들과 야구 팬들에게...
"프로야구 롯데 영건 김진욱, 7이닝 10K 1실점 첫 선발승",프로야구 롯데 자이언츠의 데뷔 2년 차 좌완 영건 김진욱(20)이 첫 선발승을 따냈다. 김진욱은 5일 경남 창원NC파크에서 NC 다이노스와 치른 2022 신한은행 쏠(SOL) KBO리그 방문 경기에 선발 등판해 7이닝 동안 삼진...
"ABL생명, 프로야구 NC다이노스와 올시즌 함께 뛴다",ABL생명 3년 연속 NC 다이노스와 스폰서십 스포츠마케팅 진행/제공=ABL생명  ABL생명은 자사 브랜드 인지도 제고를 위한 마케팅 활동의 일환으로 3년 연속으로 프로야구단 NC다이노스와 스폰서십을 맺고...
주말 프로야구 응원 열기,3일 서울 잠실야구장에서 열린 2022 프로야구 KBO리그 한화 이글스와 두산 베어스의 경기를 찾은 관중들이 열띤 응원을 하고 있다. 2022.4.3
"프로야구단 KT 위즈 퓨처스팀, 홈경기 개막전 개최","5일 NC다이노스와 개막경기를 시작으로 180일간의 대장정 돌입 퓨처스팀, 10월7일까지 홈경기 58개, 원정 57개 등 총 115개 올 시즌 경기 소화 프로야구단 KT 위즈 퓨처스팀이 5일 익산야구장에서 NC다이노스와의 개막전을..."
"컴투스, 야구게임 '컴투스프로야구V22' 정식 출시",컴투스는 야구게임 '컴투스프로야구V22'를 출시했다고 5일 밝혔다. 이 게임은 국내 프로야구 시즌 개막과 맞물려 지난 4일부터 진행된 사전 다운로드로 애플 앱스토어 인기 순위 1위를 차지하기도 했다. ▲ 컴투스 제공...
S존 넓혀 빨라진 프로야구…팬 다시 불러모을까,- 볼넷 줄고 탈삼진 개수는 증가 - 3년 전 대비 관중 수는 반 토막 올 시즌부터 스트라이크존(S존)을 넓힌 프로야구가 그 효과를 보고 있다. 지표상 확실히 투수에게 유리해졌고 무엇보다 경기 시간이 단축돼 팬들을...
"프로야구 '직관' 된다…유통업계, 야구 마케팅 '개막'",3일 서울 잠실야구장에서 열린 2022 프로야구 KBO리그 한화 이글스와 두산 베어스의 경기를 찾은 야구팬들이 열띤 응원을 하고 있다. ⓒ연합뉴스  한국 프로야구(KBO리그)가 3년 만에 관중 제한 없이 전국 5개 구장에서...
프로야구 LG·SSG 개막 3연승 질주…NC ·한화 3연패,"프로야구 LG와 SSG가 정규리그 개막 3연승을 질주했다. LG는 5일 키움과의 리그 원정에서 홈런 1개 등 안타 12개를 몰아치며 8-4로 역전승했다. 1회 먼저 3점을 내줬지만 6회 3점을 뽑으며 뒷심을 발휘했고, 9회..."
[굿모닝브리핑] '치맥 가능' 프로야구 개막...새 변이 우려 여전,지난 주말에 프로야구가 정식 개막했습니다. 방역지침이 완화되면서 올시즌은 100% 관중 입장이 가능해졌고요. 또 말씀하신 대로 지금 사진을 자세히 보면 치킨도 먹고 있고 맥주도 마시고 있는 그런 모습 볼 수 있습니다....
개막시리즈 매진 실패?…프로야구 시선은 ‘가정의 달’,프로야구 개막 2연전이 열린 5개 구장이 모두 매진에 실패했다. 관중석 100% 개방과 취식 허용으로 기대가 컸던 만큼 아쉬움도 배로 남는다. 그래도 희망의 불씨는 살아났다. ‘가정의 달’ 5월을 향한 기대도 커졌다....
"[프로야구전망대] NC 손아섭, 롯데와 첫 맞대결…SSG 김광현 복귀전",프로야구 NC는 5∼7일 창원에서 롯데와 홈 3연전을 벌인다. NC와 롯데의 맞대결은 '낙동강 더비'로 주목받았다. 올해는 손아섭의 이적으로 볼거리가 더 늘었다. 손아섭은 부산에서 태어났다. 부산 양정초교에서...
프로야구 개막···인근 도로는 불법주정차 '몸살',"프로야구 KIA타이거즈의 '2022 KBO리그' 개막전이 열린 지난 주말, 광주시 북구 광주-기아챔피언스필드 인근 도로에는 이중, 삼중 불법주정차로 극심한 교통체증이 빚어졌다. 3년만에 100% 관중을 받으며 뜨거운 열기 속에서..."
야구게임 시뮬레이션으로 예측한 올해 프로야구 우승팀은 'LG 트윈스',"/사진=컴투스 제공 지난 3일 개막한 KBO리그 우승팀으로 LG 트윈스가 가장 유력하다는 야구게임 시뮬레이션... 컴투스는 자회사 아웃 오브 더 파크 디벨롭먼츠가 개발하고 서비스하는 MLB, KBO 라이선스 야구게임 '아웃..."
"허구연 “젊은 층 외면받는 프로야구, 팬 퍼스트로 반전 꾀해야”",야구인 최초로 프로야구 수장 맡은 허구연 KBO 신임 총재 ”프로가 도덕성 못 갖추면 팬이 가만 놔두지 않는다” 지난 2일 창원NC파크에서 열린 2022시즌 프로야구 공식 개막전. 어린이 팬 두 명이 개막을 선언하고 시구와...
"컴투스홀딩스 ‘2022 게임빌프로야구 슈퍼스타즈’, 인기 레전드 트레이너 영...",컴투스홀딩스(대표 이용국)는 ‘2022 게임빌프로야구 슈퍼스타즈(이하 2022 겜프야)’의 글로벌 업데이트를 진행한다고 6일 밝혔다. 이번 업데이트에서는 인기 레전드 트레이너들을 쉽게 영입할 수 있는 기회가 마련된다....
40살 한국 프로야구! 유희관·장성호·이광용의 옐카가 예상한 우승팀과 5강 ...,"야구팬들과 축구팬들이 출퇴근 시간에 가장 많이 즐겨보는 프로그램, '이판사판 스포츠 토크쇼' 옐카 3(이광용의 옐로우 카드 3)에서 흥미로운 프로야구 5강 예상이 나와 주목받고 있다. '수준 높은 티키타카'식 대화로..."
"노브랜드버거, 프로야구 개막 기념 '크런치윙' 증정 이벤트",신세계푸드(031440)는 2022 프로야구 시즌 개막을 맞아 펼치는 ‘SSG랜더스 데이’의 일환으로오는 13일까지 ‘노브랜드’ 버거 전용 앱을 통해 ‘NBB 어메이징 세트’를 주문하는 고객에게 인기 사이드 메뉴인...
"동아오츠카, ‘포카리스웨트’로 프로야구 공식음료 활동","동아오츠카의 이온음료 포카리스웨트가 프로야구 공식음료로 활동한다. 동아오츠카는 오는 2일 개막하는 ‘2022 신한은행 SOL KBO 리그’ 공식음료로 후원사로서 정규리그 및 포스트시즌, 올스타전 등 공식행사에..."
"프로야구 삼성, 주전 공백 위기에도 2연승 거둬",프로야구 삼성라이온즈가 주전 선수들의 공백에도 역전승을 이어가며 리그 초반 상승세를 보여주고 있습니다. 지난 일요일 KT와의 경기에서 9회 극적 역전승을 기록했던 삼성은 4월 5일 잠실에서 펼쳐진 두산과의 시즌...
"[PS게임] 컴투스, '컴투스프로야구V22' 정식 출시...'골프스타X엘르골프' 컬래...","컴투스는 신작 '컴투스프로야구V22'를 정식으로 출시했다 [사진=컴투스] □ 컴투스, '컴투스프로야구V22' 정식 출시...'골프스타X엘르골프' 컬래버레이션 행사 5일 컴투스는 신작 '컴투스프로야구V22(이하 컴프야V22)'를..."
"프로야구 두산, 5∼6일 전 응원단장 초청 '추억의 응원전'","프로야구 두산 베어스가 송창훈, 오종학 전 응원단장을 초청해 '추억의 응원전'을 펼친다. 두산은 3일 ""삼성 라이온즈와 5일과 6일 잠실구장에서 벌이는 정규시즌 홈경기에 과거 두산 팬들과 호흡한 응원단장을..."
'무관중' 떠나고 '치맥'이 돌아왔다... 프로야구 개막 [사진잇슈],"2일 KBO 2022 프로야구 두산 베어스 대 한화이글스의 개막경기가 열린 서울 잠실야구장엔 1만6,000여 명의 관중이 몰렸다. 경기장 전 좌석이 관중에 개방된 것은 2019년 10월 한국시리즈 이후 약 2년 6개월 만이다...."
"40주년 맞은 프로야구, 2022시즌 달라진 관전 포인트",사진 : KBO 제공 출범 40주년을 맞은 2022 KBO리그 프로야구가 지난 주말 개막된 가운데 팀당 144경기의 대장정이 시작됐다. 올 시즌에는 코로나19 발생 이후 3년만에 100% 관중 수용이 가능해졌고 야구장 내 치맥(치킨+맥주)...
"‘빽 투 더 그라운드’ 홍성흔-니퍼트, 2022 프로야구 개막전 떴다","한편, 지난 2일(토) 서울 잠실구장에서 열린 2022 KBO 프로야구 두산 베어스와 한화 이글스의 경기에 ‘빽 투 더 그라운드’의 홍성흔, 니퍼트가 박철순, 김형석과 함께 두산 베어스의 시대별 레전드 선수로 단체 시구에..."
"엔씨, 〈프로야구H3〉 서비스 1주년 기념 이벤트 실시","엔씨소프트가 모바일야구게임 <프로야구 H3> 서비스 1주년 기념해 이벤트를 진행한다. 이벤트는 모든 이용자에게 1주년 기념 쿠폰 제공과 응원 메세지 작성, 1+1 푸시 보상, 출석 보상으로 구성됐다. 쿠폰 사용 시 S급..."
"쎄보모빌리티, 전기차 ‘쎄보C’ 불펜카로 활약… 프로야구 NC와 스폰서십","사진=NC 다이노스 제공 쎄보모빌리티의 국내 초소형 전기차 판매 1위 모델인 ‘쎄보C’가 프로야구 NC 다이노스의 홈경기 불펜카로 활약한다. 5일 프로야구 NC다이노스에 따르면 쎄보모빌리티와 스폰서십을 맺고, 초소형..."
'프로야구 기대하세요',= 31일 서울 용산구 소월로 그랜드 하얏트 서울 호텔에서 열린 프로야구 2022 신한은행 SOL KBO 미디어데이에서 참석자들이 기념촬영을 하고 있다. 올해로 40주년을 맞이한 프로야구 2022 신한은행 SOL KBO 리그는 4월...
